"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.68060302569858,0.922,0.083,0,"0","TPM2"
0,3.84111318282787,0.916,0.083,0,"0","COL6A2"
0,3.31570878694077,0.986,0.154,0,"0","GPC1"
0,3.15892308038712,0.941,0.113,0,"0","IGFBP3"
0,4.06101903911109,0.895,0.079,0,"0","SEMA6D"
0,2.93372936356263,0.895,0.088,0,"0","CNIH3"
0,3.64233943175128,0.904,0.097,0,"0","RP11-395G23.3"
0,3.26354321083996,0.895,0.088,0,"0","MXRA7"
0,3.54610310332183,0.894,0.089,0,"0","WWTR1"
0,3.26057167247429,0.991,0.19,0,"0","NES"
0,3.06080849259562,0.926,0.128,0,"0","POU3F2"
0,3.20795860946502,0.98,0.184,0,"0","SOX9"
0,2.93558584573383,0.941,0.148,0,"0","COL6A1"
0,3.94218976150824,0.99,0.199,0,"0","HOPX"
0,2.59349459976562,0.942,0.159,0,"0","CAMK2D"
0,3.36954451786107,0.899,0.12,0,"0","PMEPA1"
0,4.50228453333873,0.829,0.051,0,"0","KCNF1"
0,3.55549218647561,0.909,0.137,0,"0","ID4"
0,3.16588977222453,0.969,0.199,0,"0","TNFRSF12A"
0,2.34013094568119,0.898,0.129,0,"0","SERPINH1"
0,2.5788752845105,0.964,0.196,0,"0","NEK6"
0,2.55692738457454,0.965,0.197,0,"0","RAB34"
0,3.00194628323502,0.87,0.105,0,"0","SMAD1"
0,2.3879121963324,0.932,0.168,0,"0","SCG2"
0,1.96907795097756,0.98,0.216,0,"0","EGFR"
0,2.48897003866062,0.908,0.147,0,"0","SPRY1"
0,2.50930392817871,0.972,0.213,0,"0","METRN"
0,1.74860754097524,0.895,0.138,0,"0","METTL7B"
0,2.26106766816382,0.969,0.212,0,"0","MAP2K2"
0,2.63521552331847,0.903,0.148,0,"0","CCDC106"
0,4.39163003892706,0.809,0.057,0,"0","POSTN"
0,2.53862306996908,0.889,0.138,0,"0","SPRY2"
0,2.3892462087895,0.931,0.182,0,"0","FAM210B"
0,1.7719545919778,0.98,0.233,0,"0","S100A16"
0,2.26258348788351,0.882,0.135,0,"0","KCNQ2"
0,2.3318414921378,0.95,0.203,0,"0","ZNF580"
0,2.0014344279328,0.901,0.158,0,"0","FIBIN"
0,3.51929706457803,0.86,0.117,0,"0","FJX1"
0,2.70827494306027,0.853,0.111,0,"0","PRR7"
0,3.09703322304383,0.832,0.09,0,"0","RFFL"
0,2.19245476875252,0.95,0.209,0,"0","RRBP1"
0,2.23312691440763,0.919,0.18,0,"0","FLNA"
0,2.48923294321119,0.874,0.135,0,"0","SEPN1"
0,2.11114988373044,0.913,0.176,0,"0","OXLD1"
0,2.01576791788729,0.908,0.171,0,"0","TRIB2"
0,1.72297540189034,0.851,0.116,0,"0","PPIC"
0,2.60058438770568,0.838,0.104,0,"0","MRC2"
0,2.28555585879213,0.872,0.139,0,"0","EFEMP2"
0,2.80900119479141,0.853,0.12,0,"0","B4GALT5"
