"cluster_factor","Arm","mean_score","median_score","n"
"0","PERK",0.0167823006147686,-0.0775074772451227,215
"0","IRE1",0.0592198536535552,0.0298974981528891,215
"0","ATF6",0.272033114795795,0.211531357438424,215
"1","PERK",-0.0498403994398736,-0.0817349223926665,118
"1","IRE1",-0.0142774330165267,-0.0350255175323715,118
"1","ATF6",0.0816931797416542,0.0272809292750759,118
"2","PERK",-0.100348659664358,-0.136228995153078,112
"2","IRE1",0.234054853717255,0.216979451181822,112
"2","ATF6",0.708426662491551,0.739643344563648,112
"3","PERK",-0.00759272177490967,-0.0415593499061033,90
"3","IRE1",0.248660246253145,0.237243422279593,90
"3","ATF6",0.619608900218592,0.599404199468328,90
"4","PERK",0.0762383170050708,0.0267516266935918,88
"4","IRE1",0.261419207108386,0.188945645913663,88
"4","ATF6",0.443887749566004,0.296364634755949,88
"5","PERK",0.075702926583492,0.0572129512849828,75
"5","IRE1",0.238294931256815,0.228391831890374,75
"5","ATF6",0.679110995769128,0.648754662748982,75
"6","PERK",0.075730730585249,0.076345082414614,73
"6","IRE1",0.217744386658485,0.211327148629544,73
"6","ATF6",0.423333090936093,0.411294931009675,73
"7","PERK",0.0479271842599727,-0.0119011819240272,65
"7","IRE1",0.319741421378674,0.305726489679283,65
"7","ATF6",0.664671530839089,0.67419528167241,65
"8","PERK",-0.134277161094236,-0.174373229562031,35
"8","IRE1",0.109966959041961,0.0436299635949129,35
"8","ATF6",0.488692695262307,0.410204502589305,35
