"cluster_factor","UPR_State","n","total","fraction","global_prop","enrichment","log2_enrichment"
"0","All-low",22,215,0.102325581395349,0.0505166475315729,2.02558139534884,1.0183360590094
"0","PERK-high",29,215,0.134883720930233,0.142365097588978,0.947449362340585,-0.0778792562498987
"0","IRE1-high",9,215,0.0418604651162791,0.0539609644087256,0.775754576942108,-0.366327791225921
"0","ATF6-high",8,215,0.0372093023255814,0.0585533869115959,0.63547651618787,-0.654089282962091
"0","Multi-arm-high",35,215,0.162790697674419,0.22158438576349,0.734666827328594,-0.44483796131371
"0","Intermediate/Mixed",112,215,0.52093023255814,0.473019517795637,1.10128697222849,0.13919045388379
"1","All-low",14,118,0.11864406779661,0.0505166475315729,2.34861325115562,1.23180916265733
"1","PERK-high",12,118,0.101694915254237,0.142365097588978,0.714324767632586,-0.485347950428696
"1","IRE1-high",1,118,0.00847457627118644,0.0539609644087256,0.157050126217093,-2.67070299244061
"1","ATF6-high",3,118,0.0254237288135593,0.0585533869115959,0.43419740777667,-1.20357698201332
"1","Multi-arm-high",2,118,0.0169491525423729,0.22158438576349,0.0764907350487398,-3.70857117803106
"1","Intermediate/Mixed",86,118,0.728813559322034,0.473019517795637,1.54076847128517,0.623650086755903
"2","All-low",5,112,0.0446428571428571,0.0505166475315729,0.883725649350649,-0.178329537208674
"2","PERK-high",5,112,0.0446428571428571,0.142365097588978,0.313580069124424,-1.67309422895825
"2","IRE1-high",4,112,0.0357142857142857,0.0539609644087256,0.661854103343465,-0.595414865136377
"2","ATF6-high",18,112,0.160714285714286,0.0585533869115959,2.74474789915966,1.45667364601208
"2","Multi-arm-high",39,112,0.348214285714286,0.22158438576349,1.5714748334567,0.652119168135428
"2","Intermediate/Mixed",41,112,0.366071428571429,0.473019517795637,0.773903432732316,-0.369774536023874
"3","PERK-high",10,90,0.111111111111111,0.142365097588978,0.780465949820788,-0.357592403230323
"3","IRE1-high",10,90,0.111111111111111,0.0539609644087256,2.05910165484634,1.04201505547891
"3","ATF6-high",11,90,0.122222222222222,0.0585533869115959,2.08736383442266,1.06168208893499
"3","Multi-arm-high",20,90,0.222222222222222,0.22158438576349,1.00287852619459,0.00414686988847168
"3","Intermediate/Mixed",39,90,0.433333333333333,0.473019517795637,0.916100323624595,-0.12642249605178
"4","All-low",1,88,0.0113636363636364,0.0505166475315729,0.224948347107438,-2.15233432867573
"4","PERK-high",13,88,0.147727272727273,0.142365097588978,1.03766495601173,0.0533406977157842
"4","IRE1-high",3,88,0.0340909090909091,0.0539609644087256,0.631769825918762,-0.662529060994914
"4","Multi-arm-high",26,88,0.295454545454545,0.22158438576349,1.33337258596326,0.415079970834579
"4","Intermediate/Mixed",45,88,0.511363636363636,0.473019517795637,1.08106244483672,0.112449859108023
"5","All-low",1,75,0.0133333333333333,0.0505166475315729,0.263939393939394,-1.92172140053431
"5","PERK-high",13,75,0.173333333333333,0.142365097588978,1.21752688172043,0.283953625857201
"5","IRE1-high",3,75,0.04,0.0539609644087256,0.741276595744681,-0.431916132853497
"5","ATF6-high",3,75,0.04,0.0585533869115959,0.683137254901961,-0.549752623147356
"5","Multi-arm-high",30,75,0.4,0.22158438576349,1.80518134715026,0.852143776443422
"5","Intermediate/Mixed",25,75,0.333333333333333,0.473019517795637,0.704692556634304,-0.50493411930551
"6","PERK-high",27,73,0.36986301369863,0.142365097588978,2.59798939460893,1.37739554149544
"6","IRE1-high",7,73,0.0958904109589041,0.0539609644087256,1.77703293500437,0.829470420098814
"6","Multi-arm-high",14,73,0.191780821917808,0.22158438576349,0.865497906167932,-0.208397765491629
"6","Intermediate/Mixed",25,73,0.342465753424658,0.473019517795637,0.723999202021545,-0.465939987689647
"7","PERK-high",12,65,0.184615384615385,0.142365097588978,1.29677419354839,0.374927285904691
"7","IRE1-high",8,65,0.123076923076923,0.0539609644087256,2.28085106382979,1.18957224389277
"7","ATF6-high",5,65,0.0769230769230769,0.0585533869115959,1.31372549019608,0.393663848486277
"7","Multi-arm-high",23,65,0.353846153846154,0.22158438576349,1.59689119170984,0.675266014359343
"7","Intermediate/Mixed",17,65,0.261538461538462,0.473019517795637,0.552912621359223,-0.854876590362469
"8","All-low",1,35,0.0285714285714286,0.0505166475315729,0.565584415584416,-0.822185726983399
"8","PERK-high",3,35,0.0857142857142857,0.142365097588978,0.602073732718894,-0.731987918011821
"8","IRE1-high",2,35,0.0571428571428571,0.0539609644087256,1.05896656534954,0.0826570399762609
"8","ATF6-high",3,35,0.0857142857142857,0.0585533869115959,1.46386554621849,0.549783050403559
"8","Multi-arm-high",4,35,0.114285714285714,0.22158438576349,0.515766099185788,-0.955211145614182
"8","Intermediate/Mixed",22,35,0.628571428571429,0.473019517795637,1.32884882108183,0.410176983107977
