"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.79592747843183e-47,4.14732424432881,0.879,0.834,1.52592488705481e-42,"0","SEC61G"
9.33446792982553e-39,3.66933969213059,0.865,0.718,3.75236276311057e-34,"0","LANCL2"
1.49651045458758e-38,1.84557325971364,0.991,0.919,6.01582237639662e-34,"0","RPL13A"
4.6277576283448e-38,1.73386218471257,0.977,0.919,1.86031228901833e-33,"0","RPS11"
4.22527785944904e-37,2.55887285691039,0.991,0.939,1.69851944671992e-32,"0","MIR9-1HG"
1.45168694626392e-36,2.36288004777677,0.386,0.052,5.83563635528633e-32,"0","MTND6P1"
2.7738546036801e-33,1.66899559615103,0.995,0.971,1.11506181213336e-28,"0","RPS19"
8.60637604561256e-33,2.4777936312213,0.823,0.506,3.45967710657579e-28,"0","POSTN"
2.19779342525146e-30,2.84187478984491,0.916,0.674,8.83490979016833e-26,"0","BCAN"
3.73857692060848e-29,2.37000269798813,0.944,0.889,1.5028705363154e-24,"0","FABP7"
6.21030707839908e-29,1.0622766300475,0.963,0.922,2.49648134244565e-24,"0","NDUFA3"
3.1502257458276e-28,1.26781940461068,0.995,0.989,1.26635924756524e-23,"0","EEF1A1"
5.13402053653511e-27,1.65827434846666,0.986,0.857,2.06382491548175e-22,"0","UBB"
7.88822730604595e-27,1.58779116152343,0.967,0.895,3.17098849475741e-22,"0","RPL36"
8.27009625578178e-27,2.44034999177185,0.847,0.593,3.32449599386172e-22,"0","BEX1"
1.45888232421649e-26,1.13442467444953,0.991,0.945,5.86456105511785e-22,"0","RPS29"
1.8247096717184e-26,1.48033864515725,0.958,0.896,7.33515040934081e-22,"0","RPS6"
1.28778664773029e-25,1.58247612026153,0.991,0.919,5.17677354521098e-21,"0","SUB1"
3.7596102879813e-25,1.39892030727751,0.991,0.941,1.5113257396656e-20,"0","RPL21"
4.63409307475236e-25,1.49159297323829,0.986,0.938,1.8628590751197e-20,"0","UBA52"
2.22637409317964e-23,1.09605281422471,0.953,0.846,8.94980121717282e-19,"0","RPS28"
4.96653435811729e-23,1.54644431491444,0.94,0.895,1.99649714661957e-18,"0","RPL18"
6.82284384864443e-23,1.51061557580341,0.977,0.922,2.74271499871658e-18,"0","RPS15"
2.66235844435556e-22,1.04656907783746,0.977,0.816,1.07024147104649e-17,"0","EGFR"
4.50046617647372e-22,1.58079465717988,0.916,0.866,1.80914239828067e-17,"0","RPL28"
4.61291171550383e-22,1.28386687545836,0.986,0.947,1.85434438051538e-17,"0","RPL10"
4.82398707161426e-22,1.67075917772449,0.981,0.928,1.93919456291822e-17,"0","TPT1"
5.33495230810363e-22,1.73432493810328,0.828,0.665,2.14459747833458e-17,"0","RPL21P16"
8.157186047616e-22,1.45452482486859,0.926,0.695,3.27910721928116e-17,"0","TSPAN7"
1.56657214082815e-21,1.88563808751458,0.819,0.689,6.29746334891507e-17,"0","RPS12"
1.06396871573003e-20,3.05583522588202,0.53,0.255,4.27704784036315e-16,"0","OLIG1"
1.51762282903877e-20,1.3115279187475,0.986,0.936,6.10069201045297e-16,"0","RPS3A"
1.54099858937734e-20,1.62022205860869,0.967,0.86,6.19466022943797e-16,"0","RPS27"
8.42297645254723e-20,1.25248452379845,0.972,0.89,3.38595230415946e-15,"0","RPS13"
1.9211029455692e-19,1.14590930038818,0.879,0.782,7.72264173089362e-15,"0","RPS28P7"
1.95929490759144e-19,1.39925403552897,0.981,0.909,7.87616959902684e-15,"0","RPS27A"
2.0742358746938e-19,1.63293825930742,0.981,0.957,8.33822079268161e-15,"0","DBI"
5.65515226201036e-19,1.43929523200694,0.963,0.922,2.27331465780555e-14,"0","H3-3A"
6.0283703318104e-19,1.25205362250477,0.981,0.957,2.42334458968446e-14,"0","RPL5"
6.39197284112299e-19,1.58475237591612,0.944,0.893,2.56950916240303e-14,"0","ATP5F1E"
7.17563482160285e-19,1.52816475095232,0.967,0.91,2.88453344193613e-14,"0","RPS16"
1.4937813021003e-18,1.32501129592032,0.991,0.945,6.00485145631298e-14,"0","RPS18"
1.86627408390742e-18,1.51295841324211,0.958,0.881,7.50223518989944e-14,"0","RPL34"
3.35205682731582e-18,6.99051867801343,0.312,0.085,1.34749332401269e-13,"0","GPR17"
4.06122278244314e-18,3.99047154988954,0.442,0.189,1.63257094631432e-13,"0","NKAIN4"
6.5314063651218e-18,2.77448459448372,0.814,0.639,2.62556004471531e-13,"0","5-8S-rRNA"
7.00471587048248e-18,0.865103443330336,0.981,0.927,2.81582573277525e-13,"0","RPLP1"
1.39535941451407e-17,0.86537292907461,0.995,0.988,5.60920531040511e-13,"0","RPL15"
1.87054645094762e-17,2.75879758723906,0.809,0.633,7.51940967816434e-13,"0","RNA5-8SN1"
1.87054645094762e-17,2.75879758723906,0.809,0.633,7.51940967816434e-13,"0","RNA5-8SN2"
1.87054645094762e-17,2.75879758723906,0.809,0.633,7.51940967816434e-13,"0","RNA5-8SN3"
1.91309239197026e-17,1.13067280614214,0.958,0.91,7.69044010648124e-13,"0","RPL31"
2.22817553143838e-17,1.39044999766344,0.958,0.895,8.95704281882913e-13,"0","RPL32"
3.4387041640683e-17,1.76958119700585,0.958,0.858,1.38232468691382e-12,"0","RPLP2"
1.50157884880871e-16,1.32597008566341,0.967,0.922,6.03619681432612e-12,"0","RPL27A"
1.8477532473398e-16,2.31827453952024,0.921,0.843,7.42778327898128e-12,"0","CD82"
2.18549491262995e-16,1.27014830269938,0.991,0.957,8.78547099928113e-12,"0","RPS5"
3.59547481950545e-16,0.489870880861471,0.637,0.896,1.44534492269299e-11,"0","LGALS1"
4.83038225312351e-16,1.14926564893021,0.991,0.947,1.94176536193312e-11,"0","RPS14"
5.35927924101716e-16,1.22868306499583,0.823,0.729,2.15437666209649e-11,"0","MTND4P12"
6.09331427776014e-16,1.58461530301761,0.544,0.306,2.4494514065168e-11,"0","RPS4XP22"
6.97470098841754e-16,2.44764256101003,0.851,0.866,2.80376005033397e-11,"0","NRXN1"
8.19371442098414e-16,1.16905972566977,0.958,0.945,3.29379126009141e-11,"0","SCRG1"
9.15250287842637e-16,1.89332018755859,0.902,0.828,3.67921463209862e-11,"0","RPS10"
1.0894686220804e-15,1.25887030027525,0.958,0.938,4.37955491390101e-11,"0","ZFAS1"
1.236174878919e-15,1.13527890884989,0.995,0.97,4.96929939576647e-11,"0","RPL41"
2.62834146754272e-15,1.80082346888325,0.712,0.474,1.0565669865375e-10,"0","RPS4Y1"
2.85091344878585e-15,2.07756335693138,0.921,0.909,1.14603869727743e-10,"0","PCMTD2"
3.18563687699873e-15,1.62132273122891,0.926,0.909,1.28059416818472e-10,"0","RPS8"
8.23418090461327e-15,2.74782197840808,0.767,0.61,3.31005838184549e-10,"0","LHFPL3"
1.06593262303816e-14,1.1880108554728,0.958,0.913,4.28494255135109e-10,"0","UBL5"
