"source","target","ligand.complex","ligand","receptor.complex","receptor","receptor.prop","ligand.prop","ligand.scaled","receptor.scaled","weight_sc","consensus_rank"
"6","6","MIA","MIA","ITGA4","ITGA4",0.794520547945205,0.917808219178082,2.64218646581,1.38023045257384,2.01120845919192,3
"1","6","PDGFA","PDGFA","PDGFRA","PDGFRA",0.986301369863014,0.949152542372881,1.42880025622378,2.56177453514948,1.99528739568663,4
"2","6","EFNA5","EFNA5","EPHA3","EPHA3",0.945205479452055,0.964285714285714,1.40702335992976,2.07295004275206,1.73998670134091,16
"7","6","PDGFC","PDGFC","PDGFRA","PDGFRA",0.986301369863014,0.938461538461538,0.869765898064883,2.56177453514948,1.71577021660718,18
"8","6","EFNB2","EFNB2","EPHA3","EPHA3",0.945205479452055,0.8,1.03935590666294,2.07295004275206,1.5561529747075,41
"6","6","MIA","MIA","ITGB1","ITGB1",0.945205479452055,0.917808219178082,2.64218646581,0.412803301570701,1.52749488369035,45
"1","6","EFNA2","EFNA2","EPHA3","EPHA3",0.945205479452055,0.661016949152542,0.917995564939097,2.07295004275206,1.49547280384558,50
"5","6","VCAM1","VCAM1","ITGA4_ITGB1","ITGB1",0.794520547945205,0.946666666666667,2.09107738078012,0.896516877072268,1.49379712892619,52
"8","6","EFNA5","EFNA5","EPHA3","EPHA3",0.945205479452055,0.857142857142857,0.847380301463368,2.07295004275206,1.46016517210772,66
"3","6","PDGFC","PDGFC","PDGFRA","PDGFRA",0.986301369863014,0.811111111111111,0.350119361375648,2.56177453514948,1.45594694826256,67
"3","6","EFNA1","EFNA1","EPHA3","EPHA3",0.945205479452055,0.811111111111111,0.813037607629945,2.07295004275206,1.442993825191,73
"3","6","B2M","B2M","KLRC2","KLRC2",0.876712328767123,1,0.683791770187393,2.18059534615158,1.43219355816949,78
"7","6","ADAM10","ADAM10","EPHA3","EPHA3",0.945205479452055,1,0.788781832607603,2.07295004275206,1.43086593767983,79
"5","6","CCN1","CCN1","ITGB5","ITGB5",0.917808219178082,0.813333333333333,1.60767049922597,1.25133867259467,1.42950458591032,81
"7","6","S100A4","S100A4","ERBB3","ERBB3",0.958904109589041,0.415384615384615,1.19823210641378,1.64790600596743,1.4230690561906,83
"7","6","SEMA3E","SEMA3E","NRP2","NRP2",0.931506849315068,1,2.55491519124865,0.285956765572331,1.42043597841049,84
"5","6","EFNA1","EFNA1","EPHA3","EPHA3",0.945205479452055,0.773333333333333,0.754769526206038,2.07295004275206,1.41385978447905,87
"5","6","THBS2","THBS2","ITGA4","ITGA4",0.794520547945205,0.933333333333333,1.4425219208542,1.38023045257384,1.41137618671402,88
"3","6","ADAM10","ADAM10","EPHA3","EPHA3",0.945205479452055,0.988888888888889,0.689123564054343,2.07295004275206,1.3810368034032,103
"2","6","PSG5","PSG5","PDGFRA","PDGFRA",0.986301369863014,0.723214285714286,0.170835534813824,2.56177453514948,1.36630503498165,112
"5","6","VCAM1","VCAM1","ITGA4_ITGB7","ITGB7",0.191780821917808,0.946666666666667,2.09107738078012,0.636795663294474,1.36393652203729,116
"0","6","PDGFC","PDGFC","PDGFRA","PDGFRA",0.986301369863014,0.618604651162791,0.151536506343007,2.56177453514948,1.35665552074624,122
"2","6","PDGFA","PDGFA","PDGFRA","PDGFRA",0.986301369863014,0.955357142857143,0.13997799841273,2.56177453514948,1.3508762667811,128
"5","6","B2M","B2M","KLRC2","KLRC2",0.876712328767123,1,0.500776051504153,2.18059534615158,1.34068569882787,138
"4","6","PSG5","PSG5","PDGFRA","PDGFRA",0.986301369863014,0.886363636363636,0.108811799546055,2.56177453514948,1.33529316734777,143
"4","6","EFNA1","EFNA1","EPHA3","EPHA3",0.945205479452055,0.590909090909091,0.57140560008362,2.07295004275206,1.32217782141784,152
"8","6","PSG5","PSG5","PDGFRA","PDGFRA",0.986301369863014,0.742857142857143,0.0808885626332161,2.56177453514948,1.32133154889135,153
"5","6","FN1","FN1","ITGA4_ITGB1","ITGB1",0.794520547945205,1,1.73605843858543,0.896516877072268,1.31628765782885,159
"1","6","PSG5","PSG5","PDGFRA","PDGFRA",0.986301369863014,0.177966101694915,0.0701998767799115,2.56177453514948,1.31598720596469,160
"6","6","MIA","MIA","ITGA5","ITGA5",0.575342465753425,0.917808219178082,2.64218646581,-0.0416918135484906,1.30024732613076,176
"5","6","VCL","VCL","ITGB5","ITGB5",0.917808219178082,0.986666666666667,1.32837743506796,1.25133867259467,1.28985805383132,190
"5","6","PLA2G2A","PLA2G2A","ERBB3","ERBB3",0.958904109589041,0.653333333333333,0.908225440373695,1.64790600596743,1.27806572317056,208
"7","6","SEMA3A","SEMA3A","NRP2","NRP2",0.931506849315068,1,2.26166881376377,0.285956765572331,1.27381278966805,213
"6","6","PSG5","PSG5","PDGFRA","PDGFRA",0.986301369863014,0.808219178082192,-0.0197462791258684,2.56177453514948,1.2710141280118,219
"3","6","PDGFA","PDGFA","PDGFRA","PDGFRA",0.986301369863014,1,-0.0215186851097815,2.56177453514948,1.27012792501985,222
"4","6","EFNA3","EFNA3","EPHA3","EPHA3",0.945205479452055,0.113636363636364,0.466554712765414,2.07295004275206,1.26975237775874,225
"0","6","PSG5","PSG5","PDGFRA","PDGFRA",0.986301369863014,0.52093023255814,-0.0288453504267389,2.56177453514948,1.26646459236137,232
"5","6","C3","C3","CD46","CD46",0.917808219178082,1,2.08480732526936,0.438423413844739,1.26161536955705,240
"8","6","PDGFC","PDGFC","PDGFRA","PDGFRA",0.986301369863014,0.685714285714286,-0.0389133348736444,2.56177453514948,1.26143060013792,241
"4","6","PDGFC","PDGFC","PDGFRA","PDGFRA",0.986301369863014,0.75,-0.0411175862530352,2.56177453514948,1.26032847444822,244
"7","6","HAPLN1","HAPLN1","IL1RL1","IL1RL1",0.863013698630137,1,2.40180879216011,0.111196174814066,1.25650248348709,252
"6","6","ADAM10","ADAM10","EPHA3","EPHA3",0.945205479452055,0.945205479452055,0.438672489331005,2.07295004275206,1.25581126604153,253
"7","6","HAPLN1","HAPLN1","TNFRSF11B","TNFRSF11B",0.835616438356164,1,2.40180879216011,0.109017349296528,1.25541307072832,255
