"source","target","ligand.complex","ligand","receptor.complex","receptor","receptor.prop","ligand.prop","ligand.scaled","receptor.scaled","weight_sc","consensus_rank"
"5","1","CXCL8","CXCL8","SDC3","SDC3",0.923728813559322,0.653333333333333,1.2585525418174,1.73172779248458,1.49514016715099,51
"5","6","VCAM1","VCAM1","ITGA4_ITGB1","ITGB1",0.794520547945205,0.946666666666667,2.09107738078012,0.896516877072268,1.49379712892619,52
"5","8","HAS2","HAS2","HMMR","HMMR",0.885714285714286,0.893333333333333,1.04071864155752,1.89267135870149,1.4666950001295,63
"3","6","PDGFC","PDGFC","PDGFRA","PDGFRA",0.986301369863014,0.811111111111111,0.350119361375648,2.56177453514948,1.45594694826256,67
"3","6","EFNA1","EFNA1","EPHA3","EPHA3",0.945205479452055,0.811111111111111,0.813037607629945,2.07295004275206,1.442993825191,73
"5","1","C3","C3","MTNR1A","MTNR1A",0.855932203389831,1,2.08480732526936,0.784271043258996,1.43453918426418,77
"3","6","B2M","B2M","KLRC2","KLRC2",0.876712328767123,1,0.683791770187393,2.18059534615158,1.43219355816949,78
"5","6","CCN1","CCN1","ITGB5","ITGB5",0.917808219178082,0.813333333333333,1.60767049922597,1.25133867259467,1.42950458591032,81
"5","6","EFNA1","EFNA1","EPHA3","EPHA3",0.945205479452055,0.773333333333333,0.754769526206038,2.07295004275206,1.41385978447905,87
"5","6","THBS2","THBS2","ITGA4","ITGA4",0.794520547945205,0.933333333333333,1.4425219208542,1.38023045257384,1.41137618671402,88
"5","1","CCL2","CCL2","CCR4","CCR4",0.830508474576271,0.746666666666667,1.2554402324273,1.54633219236617,1.40088621239674,93
"3","6","ADAM10","ADAM10","EPHA3","EPHA3",0.945205479452055,0.988888888888889,0.689123564054343,2.07295004275206,1.3810368034032,103
"3","8","EFEMP1","EFEMP1","EGFR","EGFR",0.971428571428571,1,1.83896145329388,0.889531500115252,1.36424647670457,115
"5","6","VCAM1","VCAM1","ITGA4_ITGB7","ITGB7",0.191780821917808,0.946666666666667,2.09107738078012,0.636795663294474,1.36393652203729,116
"5","6","B2M","B2M","KLRC2","KLRC2",0.876712328767123,1,0.500776051504153,2.18059534615158,1.34068569882787,138
"5","6","FN1","FN1","ITGA4_ITGB1","ITGB1",0.794520547945205,1,1.73605843858543,0.896516877072268,1.31628765782885,159
"5","1","NCAN","NCAN","SDC3","SDC3",0.923728813559322,0.96,0.883009715098984,1.73172779248458,1.30736875379178,173
"3","1","AGT","AGT","MTNR1A","MTNR1A",0.855932203389831,1,1.81201973694353,0.784271043258996,1.29814539010126,179
"5","6","VCL","VCL","ITGB5","ITGB5",0.917808219178082,0.986666666666667,1.32837743506796,1.25133867259467,1.28985805383132,190
"5","1","C3","C3","C5AR2","C5AR2",0.703389830508475,1,2.08480732526936,0.49295559988563,1.28888146257749,191
"5","6","PLA2G2A","PLA2G2A","ERBB3","ERBB3",0.958904109589041,0.653333333333333,0.908225440373695,1.64790600596743,1.27806572317056,208
"3","6","PDGFA","PDGFA","PDGFRA","PDGFRA",0.986301369863014,1,-0.0215186851097815,2.56177453514948,1.27012792501985,222
